AGS,AGS_STATE,AGS_8,Name,total,Protestant Count,Catholic Count,Other Count
083255003049,08,08325049,"Rottweil, Stadt",24668,4761,10494,9411
083255003064,08,08325064,Wellendingen,3252,489,1580,1179
083255003069,08,08325069,Zimmern ob Rottweil,6332,1309,2930,2095
083255003072,08,08325072,Deißlingen,6134,1158,2973,2002
083255004050,08,08325050,Schenkenzell,1852,318,1027,508
083255004051,08,08325051,"Schiltach, Stadt",3641,1373,1140,1126
083255005001,08,08325001,Aichhalden,4171,1287,1747,1137
083255005024,08,08325024,Hardt (Landkreis Rottweil),2458,390,1592,472
083255005036,08,08325036,Lauterbach (Landkreis Rottweil),2753,337,1631,786
083255005053,08,08325053,"Schramberg, Stadt",20446,4148,8571,7726
083255006057,08,08325057,"Sulz am Neckar, Stadt",12671,5040,2740,4891
083255006061,08,08325061,Vöhringen,4307,2014,700,1596
083255007009,08,08325009,Bösingen,3372,395,2178,793
083255007060,08,08325060,Villingendorf,3349,469,1787,1092
083260003003,08,08326003,"Bad Dürrheim, Stadt",12982,3326,4430,5227
083260005005,08,08326005,"Blumberg, Stadt",9925,1520,4238,4168
083260031031,08,08326031,Königsfeld im Schwarzwald,5818,2116,1622,2083
083260052052,08,08326052,"St. Georgen im Schwarzwald, Stadt",12265,4012,3661,4594
083260068068,08,08326068,"Vöhrenbach, Stadt",3621,341,2208,1072
083265001006,08,08326006,"Bräunlingen, Stadt",5698,560,3315,1823
083265001012,08,08326012,"Donaueschingen, Stadt",21883,3934,9346,8605
083265001027,08,08326027,"Hüfingen, Stadt",7872,1044,3827,3001
083265002017,08,08326017,"Furtwangen im Schwarzwald, Stadt",8374,894,4584,2897
083265002020,08,08326020,Gütenbach,1069,76,699,295
083265003054,08,08326054,Schönwald im Schwarzwald,2483,354,1316,811
083265003055,08,08326055,Schonach im Schwarzwald,3854,461,2426,966
083265003060,08,08326060,"Triberg im Schwarzwald, Stadt",4412,553,2206,1653
083265004010,08,08326010,Dauchingen,3765,934,1388,1446
083265004037,08,08326037,Mönchweiler,2803,1005,811,986
083265004041,08,08326041,Niedereschach,5839,1214,2527,2096
083265004061,08,08326061,Tuningen,2968,983,756,1232
083265004065,08,08326065,Unterkirnach,2511,421,972,1118
083265004074,08,08326074,"VillingenSchwenningen, Stadt",87478,18982,27627,40867
083265004075,08,08326075,Brigachtal,4976,894,2343,1735
083275001004,08,08327004,Bärenthal,489,27,352,111
083275001008,08,08327008,Buchheim,731,49,550,130
083275001016,08,08327016,"Fridingen an der Donau, Stadt",3154,441,1736,979
083275001027,08,08327027,Irndorf,694,61,483,149
083275001030,08,08327030,Kolbingen,1246,125,842,278
083275001036,08,08327036,"Mühlheim an der Donau, Stadt",3671,741,1936,994
083275001041,08,08327041,Renquishausen,760,57,596,107
083275002007,08,08327007,Bubsheim,1430,233,707,491
083275002009,08,08327009,Deilingen,1848,156,1089,604
083275002013,08,08327013,Egesheim,650,82,400,175
083275002019,08,08327019,Gosheim,3786,689,1944,1155
083275002029,08,08327029,Königsheim,595,64,397,131
083275002040,08,08327040,Reichenbach am Heuberg,461,77,244,141
083275002051,08,08327051,Wehingen,3644,553,1743,1345
083275003018,08,08327018,"Geisingen, Stadt",6296,1046,3261,1989
083275003025,08,08327025,Immendingen,6364,1024,2752,2587
083275004002,08,08327002,Aldingen,7660,2099,2459,3105
083275004005,08,08327005,Balgheim,1286,239,594,455
083275004006,08,08327006,Böttingen,1432,123,962,346
083275004010,08,08327010,Denkingen,2928,563,1400,964
083275004011,08,08327011,Dürbheim,1719,220,968,528
083275004017,08,08327017,Frittlingen,2111,301,1051,755
083275004023,08,08327023,Hausen ob Verena,801,353,198,248
083275004033,08,08327033,Mahlstetten,830,64,539,224
083275004046,08,08327046,"Spaichingen, Stadt",13425,2312,5597,5517
083275005012,08,08327012,Durchhausen,1033,200,447,388
083275005020,08,08327020,Gunningen,773,154,383,232
083275005048,08,08327048,Talheim (Landkreis Tuttlingen),1274,607,315,354
083275005049,08,08327049,"Trossingen, Stadt",17085,4764,3538,8783
083275006038,08,08327038,Neuhausen ob Eck,3987,1080,1609,1297
083275006050,08,08327050,"Tuttlingen, Stadt",36665,6994,10551,19123
083275006054,08,08327054,Wurmlingen,3908,848,1836,1223
083275006055,08,08327055,SeitingenOberflacht,2572,471,1265,829
083275006056,08,08327056,RietheimWeilheim,2873,792,1119,957
083275006057,08,08327057,EmmingenLiptingen,4714,881,2243,1588
083350035035,08,08335035,Hilzingen,8981,1292,3980,3706
083350063063,08,08335063,"Radolfzell am Bodensee, Stadt",30742,5088,10916,14740
083350080080,08,08335080,"Tengen, Stadt",4756,487,2517,1750
083355001001,08,08335001,"Aach, Stadt",2285,353,944,984
083355001022,08,08335022,"Engen, Stadt",11029,1500,5062,4464
083355001097,08,08335097,MühlhausenEhingen,3945,535,1805,1605
083355002015,08,08335015,Büsingen am Hochrhein,1384,324,213,847
083355002026,08,08335026,Gailingen am Hochrhein,2866,373,1000,1490
083355002028,08,08335028,Gottmadingen,10708,1689,4163,4858
083355003025,08,08335025,Gaienhofen,3292,616,1193,1484
083355003055,08,08335055,Moos (Landkreis Konstanz),3410,520,1398,1498
083355003061,08,08335061,Öhningen,3589,571,1517,1498
083355004002,08,08335002,Allensbach,7228,1262,2759,3206
083355004043,08,08335043,"Konstanz, Universitätsstadt",86437,16425,26801,43206
083355004066,08,08335066,Reichenau,5270,709,2438,2125
083355005075,08,08335075,"Singen (Hohentwiel), Stadt",46789,6261,16623,23904
083355005077,08,08335077,Steißlingen,4957,737,2393,1829
083355005081,08,08335081,Volkertshausen,3252,457,1394,1402
083355005100,08,08335100,RielasingenWorblingen,12176,1774,5098,5305
083355006021,08,08335021,Eigeltingen,3835,513,1842,1482
083355006057,08,08335057,Mühlingen,2676,345,1279,1054
083355006079,08,08335079,"Stockach, Stadt",17412,2825,7198,7393
083355006096,08,08335096,Hohenfels,2220,239,1126,847
083355006098,08,08335098,BodmanLudwigshafen,4742,743,1920,2079
083355006099,08,08335099,OrsingenNenzingen,3470,414,1810,1250
083360014014,08,08336014,EfringenKirchen,8598,3358,1640,3605
083360084084,08,08336084,Steinen (Landkreis Lörrach),10422,3533,1795,5094
083360087087,08,08336087,"Todtnau, Stadt",4928,526,2818,1582
083360091091,08,08336091,"Weil am Rhein, Stadt",31476,7524,6116,17836
083360105105,08,08336105,GrenzachWyhlen,15260,3356,3704,8200
083360107107,08,08336107,Kleines Wiesental,3005,1560,351,1094
083365001045,08,08336045,"Kandern, Stadt",8656,3683,1145,3828
083365001104,08,08336104,MalsburgMarzell,1471,768,147,552
083365003043,08,08336043,Inzlingen,2595,553,790,1253
083365003050,08,08336050,"Lörrach, Stadt",49541,11887,10669,26985
083365004069,08,08336069,"Rheinfelden (Baden), Stadt",34438,6830,10430,17178
083365004082,08,08336082,Schwörstadt,2580,590,835,1155
083365005006,08,08336006,Bad Bellingen,4868,1142,1319,2408
083365005078,08,08336078,Schliengen,5830,1765,1618,2450
083365006004,08,08336004,Aitern,500,67,340,95
083365006010,08,08336010,Böllen,99,23,57,17
083365006025,08,08336025,Fröhnd,480,53,350,75
083365006079,08,08336079,"Schönau im Schwarzwald, Stadt",2409,333,1060,1019
083365006080,08,08336080,Schönenberg,336,31,243,68
083365006089,08,08336089,Tunau,185,20,120,41
083365006090,08,08336090,Utzenfeld,600,74,371,155
083365006094,08,08336094,Wembach,332,42,178,114
083365006096,08,08336096,Wieden,540,16,431,89
083365007034,08,08336034,Hasel,1162,499,235,426
083365007036,08,08336036,Hausen im Wiesental,2311,624,662,1024
083365007057,08,08336057,Maulburg,4287,1283,861,2139
083365007081,08,08336081,"Schopfheim, Stadt",20083,6155,4020,9908
083365008008,08,08336008,Binzen,2993,1056,512,1421
083365008019,08,08336019,Eimeldingen,2459,794,430,1236
083365008024,08,08336024,Fischingen,769,274,94,408
083365008073,08,08336073,Rümmingen,1937,582,391,969
083365008075,08,08336075,Schallbach,839,408,101,330
083365008100,08,08336100,Wittlingen,924,347,124,453
083365009103,08,08336103,"Zell im Wiesental, Stadt",6206,1205,2435,2565
083365009106,08,08336106,HägEhrsberg,830,108,583,136
083370002002,08,08337002,Albbruck,7305,1025,3851,2431
083370038038,08,08337038,Görwihl,4235,406,2548,1283
083370062062,08,08337062,Klettgau,7496,951,3684,2859
083370066066,08,08337066,"Laufenburg (Baden), Stadt",9210,1203,3915,4091
083370106106,08,08337106,"Stühlingen, Stadt",5339,536,3059,1743
083370116116,08,08337116,"Wehr, Stadt",13036,2387,5042,5611
083375001022,08,08337022,"Bonndorf im Schwarzwald, Stadt",6857,974,3584,2299
083375001127,08,08337127,Wutach,1196,68,872,256
083375002030,08,08337030,Dettighofen,1076,136,436,500
083375002060,08,08337060,Jestetten,5202,806,1679,2720
083375002070,08,08337070,Lottstetten,2226,257,755,1214
083375003053,08,08337053,Hohentengen am Hochrhein,3715,479,1573,1661
083375003125,08,08337125,Küssaberg,5486,926,2175,2381
083375004039,08,08337039,Grafenhausen,2257,288,1405,564
083375004128,08,08337128,ÜhlingenBirkendorf,5203,648,2938,1613
083375005049,08,08337049,Herrischried,2633,353,1203,1074
083375005076,08,08337076,Murg,6813,825,3180,2810
083375005090,08,08337090,Rickenbach,3783,478,1910,1393
083375005096,08,08337096,"Bad Säckingen, Stadt",17717,2956,6555,8211
083375006013,08,08337013,Bernau im Schwarzwald,1846,198,1166,479
083375006027,08,08337027,Dachsberg (Südschwarzwald),1365,139,736,492
083375006045,08,08337045,Häusern,1327,170,613,542
083375006051,08,08337051,Höchenschwand,2572,399,1215,956
083375006059,08,08337059,Ibach,317,31,195,93
083375006097,08,08337097,"St. Blasien, Stadt",3664,567,1558,1538
083375006108,08,08337108,Todtmoos,1918,289,820,810
083375007032,08,08337032,Dogern,2255,357,1206,687
083375007065,08,08337065,Lauchringen,8045,1267,3029,3744
083375007118,08,08337118,Weilheim,3105,351,1900,854
083375007126,08,08337126,"WaldshutTiengen, Stadt",24470,3793,9214,11462
083375008123,08,08337123,Wutöschingen,6679,1100,2991,2589
083375008124,08,08337124,Eggingen,1752,191,999,560
084150014014,08,08415014,Dettingen an der Erms,9674,4249,1489,3941
084150019019,08,08415019,Eningen unter Achalm,11420,3893,1957,5571
084150059059,08,08415059,"Pfullingen, Stadt",19227,6890,3412,8925
084150061061,08,08415061,"Reutlingen, Stadt",116925,35670,22672,58584
084150073073,08,08415073,"Trochtelfingen, Stadt",6236,2021,2577,1639
084150080080,08,08415080,Wannweil,5260,1981,903,2376
084150091091,08,08415091,Sonnenbühl,7053,4222,849,1986
084150092092,08,08415092,Lichtenstein,9096,3658,1504,3935
084150093093,08,08415093,St. Johann,5132,3029,490,1613
084155001089,08,08415089,Engstingen,5156,2001,1493,1666
084155001090,08,08415090,Hohenstein (Landkreis Reutlingen),3784,1551,1227,1006
084155002029,08,08415029,Grafenberg,2695,1212,445,1041
084155002050,08,08415050,"Metzingen, Stadt",22937,8267,4406,10262
084155002062,08,08415062,Riederich,4281,1643,892,1747
084155003027,08,08415027,Gomadingen,2085,1158,290,635
084155003048,08,08415048,Mehrstetten,1443,850,217,375
084155003053,08,08415053,"Münsingen, Stadt",14564,6617,3050,4896
084155004060,08,08415060,Pliezhausen,9885,4267,1358,4255
084155004087,08,08415087,Walddorfhäslach,5362,2627,722,2013
084155005028,08,08415028,Grabenstetten,1696,991,180,525
084155005039,08,08415039,Hülben,3015,1763,253,1000
084155005078,08,08415078,"Bad Urach, Stadt",12726,4509,2424,5795
084155005088,08,08415088,Römerstein,4037,2764,369,906
084155006034,08,08415034,"Hayingen, Stadt",2151,373,1318,459
084155006058,08,08415058,Pfronstetten,1506,207,1051,251
084155006085,08,08415085,Zwiefalten,2308,351,1395,564
084160009009,08,08416009,Dettenhausen,5404,2170,942,2295
084160022022,08,08416022,Kirchentellinsfurt,5508,2166,993,2349
