ags,ags_name,election_date,eligible_voters,turnout,total_votes,cdu_csu,spd,fdp,afd,gruene,pds_linke,other
05116000,"Mönchengladbach, krfr. Stadt",22-05-2005,195028,0.567626187,110703,0.501702754,0.311689837,0.070395563,0,0.051452987,0.007777567,0.04578015
05116000,"Mönchengladbach, krfr. Stadt",09-05-2010,194166,0.516975166,100379,0.382958587,0.289811614,0.078004363,0,0.109843692,0.059773459,0.066119407
05116000,"Mönchengladbach, krfr. Stadt",13-05-2012,193297,0.531860298,102807,0.284270526,0.356036068,0.094458549,0,0.096073225,0.025066387,0.129436712
05116000,"Mönchengladbach, krfr. Stadt",14-05-2017,190503,0.594064135,113171,0.35346511,0.27265819,0.13418632,0.075036891,0.053193839,0.050534147,0.049411952
05116000,"Mönchengladbach, krfr. Stadt",15-05-2022,183961,0.47765559,87870,0.384579492,0.245032434,0.060111528,0.050916126,0.163992261,0.020507568,0.066291112
05117000,"Mülheim an der Ruhr, krfr. Stadt",13-05-1990,141395,0.732345557,103550,0.286344761,0.559642685,0.062433607,0,0.0598648,0,0.026933848
05117000,"Mülheim an der Ruhr, krfr. Stadt",14-05-1995,136425,0.675088877,92099,0.296680746,0.537421688,0.042041716,0,0.102411535,0,0.015396476
05117000,"Mülheim an der Ruhr, krfr. Stadt",14-05-2000,132586,0.599942679,79544,0.275495323,0.493349593,0.121945087,0,0.067296088,0.013074525,0.02016494
05117000,"Mülheim an der Ruhr, krfr. Stadt",22-05-2005,129891,0.675204595,87703,0.352040409,0.450315269,0.056600116,0,0.061582842,0.010752198,0.057090407
05117000,"Mülheim an der Ruhr, krfr. Stadt",09-05-2010,128091,0.644268528,82525,0.283029385,0.406095123,0.058551954,0,0.123526204,0.056140563,0.060551348
05117000,"Mülheim an der Ruhr, krfr. Stadt",13-05-2012,126912,0.624385401,79242,0.185684359,0.457042982,0.087504101,0,0.120983822,0.023674314,0.111569622
05117000,"Mülheim an der Ruhr, krfr. Stadt",14-05-2017,124241,0.691567196,85921,0.26959649,0.346457793,0.134902992,0.085229455,0.061172472,0.048218713,0.042992982
05117000,"Mülheim an der Ruhr, krfr. Stadt",15-05-2022,120640,0.58181366,70190,0.317652087,0.316469583,0.058840291,0.051930474,0.174440804,0.017310158,0.056090611
05119000,"Oberhausen, krfr. Stadt",13-05-1990,173243,0.688345272,119251,0.255545027,0.625084905,0.040561505,0,0.043974474,0,0.029785914
05119000,"Oberhausen, krfr. Stadt",14-05-1995,167247,0.60951168,101939,0.265913929,0.591736234,0.025564308,0,0.0773698,0,0.033402329
05119000,"Oberhausen, krfr. Stadt",14-05-2000,163596,0.535312599,87575,0.253702541,0.571293177,0.072600628,0,0.06666286,0.020017128,0.0043163
05119000,"Oberhausen, krfr. Stadt",22-05-2005,161225,0.61177857,98634,0.313289535,0.502311576,0.037552974,0,0.053095282,0.014285135,0.065565626
05119000,"Oberhausen, krfr. Stadt",09-05-2010,157435,0.568882396,89562,0.238482839,0.47467676,0.039034412,0,0.096592305,0.069192291,0.069437931
05119000,"Oberhausen, krfr. Stadt",13-05-2012,157015,0.571728816,89770,0.172607775,0.504032528,0.04364487,0,0.090932383,0.031614125,0.1417957
05119000,"Oberhausen, krfr. Stadt",14-05-2017,152582,0.624405238,95273,0.260441048,0.380695475,0.084651475,0.108183851,0.041123928,0.055608619,0.055545643
05119000,"Oberhausen, krfr. Stadt",15-05-2022,145898,0.49457155,72157,0.290311404,0.365799576,0.041381987,0.070928669,0.139833973,0.022548055,0.060728689
