ags,ags_name,election_date,eligible_voters,turnout,total_votes,cdu_csu,spd,fdp,afd,gruene,linke_pds,ad_demokraten,other
5158026,"Monheim am Rhein, Stadt",2017-05-14,30396,0.650381629,19769,0.323849415,0.304847525,0.144199826,0.082341523,0.050927108,0.042805333,0.001379169,0.0496501
5158028,"Ratingen, Stadt",2017-05-14,67959,0.702099795,47714,0.360844124,0.264158516,0.172944084,0.066583578,0.05870424,0.038953083,0.001035087,0.036777287
5158032,"Velbert, Stadt",2017-05-14,60144,0.653681165,39315,0.301758542,0.325652051,0.125492417,0.091119751,0.053348438,0.049151626,0.001210124,0.052267051
5158036,"Wülfrath, Stadt",2017-05-14,16109,0.673722764,10853,0.328591353,0.320502092,0.139191074,0.081450488,0.052068805,0.037935844,0.00167364,0.038586704
5162004,"Dormagen, Stadt",2017-05-14,47189,0.657653267,31034,0.350767426,0.296868381,0.137224232,0.080262,0.044513964,0.033075895,0.002313683,0.054974419
5162008,"Grevenbroich, Stadt",2017-05-14,47708,0.65054079,31036,0.363671913,0.294098478,0.149411803,0.073092841,0.043373415,0.032456741,0.002313683,0.041581126
5162012,"Jüchen, Stadt",2017-05-14,18344,0.67313563,12348,0.391933901,0.251636126,0.172611257,0.072153141,0.040657723,0.03190445,0.000981675,0.038121728
5162016,"Kaarst, Stadt",2017-05-14,32801,0.736349502,24153,0.38652867,0.231574994,0.191928887,0.05992822,0.061597529,0.029713713,0.000417327,0.038310659
5162020,"Korschenbroich, Stadt",2017-05-14,26698,0.749269608,20004,0.40630358,0.243923348,0.174432678,0.053756934,0.05204236,0.03197176,0.000353001,0.037216339
5162022,"Meerbusch, Stadt",2017-05-14,41158,0.737766655,30365,0.379159049,0.213162706,0.232042546,0.052551105,0.061858069,0.02755526,0.000565066,0.033106199
5162024,"Neuss, Stadt",2017-05-14,109289,0.633531279,69238,0.357349963,0.275465155,0.148296009,0.074104294,0.054944414,0.040840412,0.00174843,0.047251322
5162028,Rommerskirchen,2017-05-14,10384,0.714464561,7419,0.375613079,0.293324251,0.138419619,0.077247956,0.038419619,0.027384196,0.000408719,0.049182561
5166004,Brüggen,2017-05-14,12130,0.672300082,8155,0.415115413,0.23181931,0.175974187,0.059568131,0.049516009,0.032141971,0.000372301,0.035492678
5166008,Grefrath,2017-05-14,12067,0.688074915,8303,0.370397375,0.308907522,0.145704217,0.055292259,0.048122494,0.034026006,0.000243043,0.037307085
5166012,"Kempen, Stadt",2017-05-14,27254,0.696705071,18988,0.372278703,0.279767925,0.173311332,0.051950817,0.055410656,0.033214457,0.00031937,0.03374674
5166016,"Nettetal, Stadt",2017-05-14,30875,0.651854251,20126,0.405302078,0.264097792,0.150259067,0.061371296,0.047889733,0.033150561,0.000905478,0.037023995
5166020,Niederkrüchten,2017-05-14,11435,0.657804985,7522,0.379125302,0.268714784,0.147840086,0.068017172,0.053125838,0.041856721,0.000402468,0.040917628
5166024,Schwalmtal,2017-05-14,14597,0.675481263,9860,0.418683347,0.248974569,0.14304758,0.055270714,0.05783429,0.034557014,0.000205086,0.0414274
5166028,"Tönisvorst, Stadt",2017-05-14,22940,0.695727986,15960,0.359901241,0.295011395,0.157381616,0.057926057,0.054570777,0.036401621,0.000316536,0.038490757
5166032,"Viersen, Stadt",2017-05-14,57458,0.601186954,34543,0.370089795,0.288016614,0.137997602,0.060984527,0.052180526,0.044838983,0.001637954,0.044254
5166036,"Willich, Stadt",2017-05-14,38843,0.696882321,27069,0.373765237,0.259701047,0.173593767,0.061095165,0.056808439,0.034032877,0.001118276,0.03988519
5170004,Alpen,2017-05-14,10262,0.744884038,7644,0.4276072,0.267734251,0.128242456,0.059952356,0.049364743,0.032424563,0.000132345,0.034542086
5170008,"Dinslaken, Stadt",2017-05-14,52431,0.671167821,35190,0.254798299,0.389179405,0.111309045,0.091828525,0.049247213,0.055539593,0.00295943,0.04513849
5170012,"Hamminkeln, Stadt",2017-05-14,21557,0.728487266,15704,0.428571429,0.282762161,0.129765114,0.054550122,0.042099859,0.02804518,0.00057759,0.033628546
5170016,Hünxe,2017-05-14,11398,0.746885418,8513,0.313987919,0.355442378,0.134312448,0.068222196,0.047731849,0.040033164,0.000473765,0.039796281
