ags,GEN,total_22,german_born,turkish_born,italian_born
010515175135,Wolmersdorf,318,0.971698113,0,0
010515175137,Nordermeldorf,589,0.908319185,0,0
010515175138,Tensbüttel0Röst,647,0.965996909,0,0
010515178013,Büsum,4911,0.853186724,0.003257992,0.006108735
010515178014,Büsumer Deichhausen,343,0.900874636,0,0
010515178033,Friedrichsgabekoog,52,0.942307692,0,0
010515178043,Hedwigenkoog,218,0.857798165,0.013761468,0
010515178045,Hellschen0Heringsand0Unterschaar,164,0.902439024,0,0
010515178050,Hillgroven,57,0.929824561,0,0
010515178079,Norddeich,434,0.880184332,0,0
010515178084,Oesterdeichstrich,310,0.767741935,0,0
010515178093,Reinsbüttel,389,0.961439589,0,0
010515178105,Schülp,369,0.913279133,0,0
010515178108,Strübbel,95,0.894736842,0,0
010515178109,Süderdeich,435,0.917241379,0.006896552,0
010515178121,Warwerort,226,0.951327434,0,0
010515178127,"Wesselburen, Stadt",3346,0.783323371,0.010759115,0.002390915
010515178128,Wesselburener Deichhausen,107,0.990654206,0,0
010515178129,Wesselburenerkoog,165,0.96969697,0,0
010515178132,Westerdeichstrich,797,0.894604768,0.006273526,0.003764115
010515178140,Oesterwurth,241,0.950207469,0,0
010530032032,"Geesthacht, Stadt",32343,0.777911758,0.028445104,0.002597162
010530083083,"Lauenburg/ Elbe, Stadt",11395,0.809039052,0.035541904,0.003071523
010530090090,"Mölln, Stadt",19392,0.845864274,0.015676568,0.001082921
010530100100,"Ratzeburg, Stadt",14873,0.852753311,0.003697976,0.001277483
010530116116,"Schwarzenbek, Stadt",16889,0.788679022,0.017881461,0.002782876
010530129129,Wentorf bei Hamburg,13524,0.844055013,0.006433008,0.001478852
010535308008,Behlendorf,405,0.967901235,0,0
010535308009,Berkenthin,2171,0.947950253,0.004606172,0.001381852
010535308011,Bliestorf,631,0.950871632,0,0
010535308024,Düchelsdorf,154,0.974025974,0,0
010535308034,Göldenitz,231,0.974025974,0,0
010535308061,Kastorf,1165,0.9527897,0.002575107,0
010535308067,Klempau,597,0.958123953,0.005025126,0
010535308075,Krummesse,1629,0.941682014,0,0
010535308094,Niendorf bei Berkenthin,193,0.968911917,0,0
010535308103,Rondeshagen,794,0.934508816,0.003778338,0
010535308120,Sierksrade,441,0.814058957,0,0
010535313002,Alt0Mölln,851,0.881316099,0.007050529,0
010535313005,Bälau,225,0.946666667,0,0
010535313013,Borstorf,315,0.952380952,0,0
010535313014,Breitenfelde,2099,0.921867556,0,0
010535313037,Grambek,534,0.9082397,0.005617978,0
010535313056,Hornbek,226,0.876106195,0,0
010535313084,Lehmrade,591,0.905245347,0.005076142,0
010535313095,Niendorf/ Stecknitz,697,0.93974175,0,0
