stimmbezirk,valid_votes,eligible_voters,cdu_csu,spd,gruene,linke_pds,fdp,afd,ad_demokraten,other
10304,1282,1494,0.248829953,0.166926677,0.18798752,0.145085803,0.154446178,0.036661466,0.001560062,0.05850234
10305,1353,1454,0.290465632,0.164079823,0.145602365,0.097560976,0.222468588,0.0436068,0,0.036215817
10306,373,708,0.214477212,0.203753351,0.168900804,0.193029491,0.123324397,0.058981233,0.002680965,0.034852547
10307,293,597,0.249146758,0.235494881,0.167235495,0.146757679,0.116040956,0.040955631,0,0.044368601
10308,422,828,0.191943128,0.161137441,0.222748815,0.199052133,0.120853081,0.05450237,0.002369668,0.047393365
10309,340,787,0.332352941,0.167647059,0.182352941,0.123529412,0.114705882,0.05,0.002941176,0.026470588
10310,522,1289,0.14559387,0.206896552,0.227969349,0.208812261,0.111111111,0.040229885,0.007662835,0.051724138
10311,337,749,0.195845697,0.210682493,0.207715134,0.169139466,0.115727003,0.03264095,0.005934718,0.06231454
10312,381,880,0.225721785,0.199475066,0.194225722,0.152230971,0.133858268,0.052493438,0,0.041994751
10313,679,1461,0.298969072,0.162002946,0.157584683,0.111929308,0.17820324,0.050073638,0.001472754,0.039764359
10314,599,1441,0.196994992,0.186978297,0.170283806,0.150250417,0.198664441,0.053422371,0.003338898,0.040066778
10401,1192,1330,0.247483221,0.16442953,0.190436242,0.109899329,0.189597315,0.043624161,0.004194631,0.05033557
10402,1483,1425,0.238705327,0.180040459,0.209710047,0.135536076,0.159811194,0.031692515,0,0.044504383
10403,1188,1268,0.241582492,0.170875421,0.224747475,0.112794613,0.186868687,0.028619529,0,0.034511785
10404,1284,1397,0.242211838,0.179127726,0.183021807,0.144859813,0.152647975,0.042834891,0.000778816,0.054517134
10405,907,1198,0.180815877,0.21168688,0.217199559,0.166482911,0.142227122,0.028665932,0.001102536,0.051819184
10406,1038,1163,0.210019268,0.210019268,0.210982659,0.151252408,0.124277457,0.040462428,0.001926782,0.05105973
10407,1211,1473,0.26507019,0.183319571,0.205615194,0.125516102,0.144508671,0.041288192,0.000825764,0.033856317
10408,1288,1360,0.208074534,0.185559006,0.224378882,0.152950311,0.161490683,0.028726708,0.000776398,0.038043478
10409,1503,1635,0.244843646,0.180306055,0.188290086,0.125748503,0.168995343,0.045908184,0.001330672,0.044577512
10410,353,721,0.172804533,0.150141643,0.235127479,0.172804533,0.178470255,0.036827195,0,0.053824363
10411,724,1569,0.187845304,0.182320442,0.214088398,0.14640884,0.158839779,0.066298343,0.001381215,0.04281768
10412,581,1271,0.153184165,0.220309811,0.204819277,0.192771084,0.120481928,0.036144578,0.008605852,0.063683305
10413,648,1411,0.132716049,0.189814815,0.270061728,0.211419753,0.095679012,0.041666667,0.00308642,0.055555556
10414,318,682,0.135220126,0.235849057,0.235849057,0.232704403,0.078616352,0.047169811,0,0.034591195
10415,368,710,0.220108696,0.217391304,0.206521739,0.190217391,0.078804348,0.043478261,0.002717391,0.04076087
10416,395,732,0.149367089,0.197468354,0.278481013,0.197468354,0.101265823,0.040506329,0,0.035443038
10417,350,715,0.205714286,0.188571429,0.185714286,0.171428571,0.134285714,0.045714286,0.002857143,0.065714286
10418,314,688,0.23566879,0.251592357,0.200636943,0.175159236,0.111464968,0.015923567,0,0.00955414
10419,280,616,0.214285714,0.207142857,0.296428571,0.139285714,0.085714286,0.021428571,0,0.035714286
10420,389,750,0.143958869,0.195372751,0.277634961,0.174807198,0.118251928,0.033419023,0,0.05655527
10421,346,636,0.210982659,0.164739884,0.265895954,0.179190751,0.112716763,0.040462428,0,0.026011561
10422,713,1337,0.162692847,0.199158485,0.218793829,0.196353436,0.133239832,0.051893408,0,0.037868163
10423,573,1191,0.221640489,0.184991274,0.202443281,0.113438045,0.181500873,0.04886562,0,0.047120419
10424,346,697,0.257225434,0.179190751,0.138728324,0.098265896,0.23699422,0.054913295,0,0.034682081
10425,493,890,0.210953347,0.206896552,0.249492901,0.160243408,0.113590264,0.028397566,0,0.030425963
10501,1312,1491,0.246189024,0.208079268,0.222560976,0.121189024,0.128810976,0.037347561,0.000762195,0.035060976
10502,1334,1822,0.270614693,0.209145427,0.181409295,0.117691154,0.130434783,0.047226387,0.000749625,0.042728636
10503,1267,1375,0.228887135,0.224940805,0.151539069,0.131018153,0.146014207,0.049723757,0.001578532,0.066298343
10504,1034,1193,0.303675048,0.239845261,0.112185687,0.099613153,0.137330754,0.054158607,0,0.053191489
10505,1194,1384,0.272194305,0.232830821,0.179229481,0.125628141,0.108040201,0.034338358,0.000837521,0.046901173
10506,336,695,0.1875,0.208333333,0.199404762,0.148809524,0.119047619,0.080357143,0.00297619,0.053571429
10507,482,1291,0.20746888,0.2406639,0.139004149,0.163900415,0.093360996,0.10373444,0.002074689,0.049792531
10508,358,701,0.231843575,0.229050279,0.201117318,0.164804469,0.083798883,0.030726257,0,0.058659218
10509,295,643,0.216949153,0.26779661,0.149152542,0.13220339,0.105084746,0.071186441,0,0.057627119
10510,577,1119,0.233968804,0.19237435,0.187175043,0.17677643,0.093587522,0.071057192,0.003466205,0.041594454
10511,546,1285,0.217948718,0.238095238,0.137362637,0.159340659,0.119047619,0.078754579,0.005494505,0.043956044
10512,323,647,0.185758514,0.312693498,0.111455108,0.13622291,0.089783282,0.077399381,0.012383901,0.074303406
10513,351,820,0.222222222,0.245014245,0.142450142,0.148148148,0.108262108,0.054131054,0.014245014,0.065527066
20101,1465,1431,0.253924915,0.180204778,0.174061433,0.135836177,0.174744027,0.040273038,0.006825939,0.034129693
20102,1878,2085,0.317358892,0.162406816,0.132587859,0.099574015,0.197018104,0.051650692,0.000532481,0.03887114
20103,396,864,0.191919192,0.196969697,0.204545455,0.154040404,0.148989899,0.058080808,0,0.045454545
20104,422,881,0.281990521,0.21563981,0.17535545,0.130331754,0.120853081,0.023696682,0.002369668,0.049763033
20105,508,1167,0.265748031,0.208661417,0.145669291,0.108267717,0.196850394,0.045275591,0,0.029527559
20106,419,937,0.22673031,0.214797136,0.131264916,0.093078759,0.243436754,0.057279236,0,0.033412888
20107,365,730,0.284931507,0.142465753,0.210958904,0.117808219,0.169863014,0.049315068,0,0.024657534
20108,308,633,0.24025974,0.181818182,0.155844156,0.175324675,0.126623377,0.061688312,0,0.058441558
20201,850,694,0.358823529,0.141176471,0.110588235,0.048235294,0.265882353,0.055294118,0,0.02
20202,1697,1212,0.350029464,0.124926341,0.086623453,0.051266942,0.293459045,0.065409546,0.001767826,0.026517384
20203,467,2214,0.372591006,0.113490364,0.068522484,0.040685225,0.340471092,0.055674518,0,0.00856531
20204,850,1968,0.272941176,0.181176471,0.130588235,0.078823529,0.217647059,0.081176471,0.004705882,0.032941176
20301,1977,2299,0.246838644,0.2215478,0.156803237,0.113808801,0.135558928,0.074355083,0.003540718,0.047546788
20302,580,1510,0.213793103,0.294827586,0.106896552,0.136206897,0.105172414,0.1,0.005172414,0.037931034
20303,665,1442,0.209022556,0.231578947,0.204511278,0.126315789,0.132330827,0.058646617,0,0.037593985
20401,1567,1759,0.299936184,0.220804084,0.131461391,0.098276962,0.143586471,0.071474154,0.000638162,0.033822591
20402,479,1073,0.256784969,0.250521921,0.139874739,0.104384134,0.139874739,0.056367432,0,0.052192067
20403,447,919,0.255033557,0.272930649,0.096196868,0.120805369,0.105145414,0.100671141,0.008948546,0.040268456
20404,340,717,0.205882353,0.223529412,0.161764706,0.167647059,0.129411765,0.091176471,0.002941176,0.017647059
20501,1861,2666,0.275120903,0.248790973,0.134873724,0.089736701,0.148307362,0.071466953,0.000537346,0.03116604
20502,1293,1476,0.242072699,0.249806651,0.141531323,0.136117556,0.120649652,0.05645785,0.003866976,0.049497293
20503,1301,1271,0.245196003,0.224442736,0.169869331,0.148347425,0.118370484,0.036894696,0.001537279,0.055342045
20504,1305,1372,0.222222222,0.273563218,0.133333333,0.128735632,0.137931034,0.056704981,0.001532567,0.045977011
20505,1091,1182,0.22456462,0.275893676,0.164069661,0.121906508,0.092575619,0.080659945,0.00091659,0.039413382
20506,1214,1355,0.264415157,0.277594728,0.102965404,0.129324547,0.10708402,0.079901153,0,0.038714992
20507,410,917,0.304878049,0.241463415,0.087804878,0.141463415,0.109756098,0.06097561,0.002439024,0.051219512
20508,400,848,0.2375,0.21,0.1625,0.16,0.1125,0.0675,0.0025,0.0475
20509,576,1543,0.199652778,0.229166667,0.154513889,0.1875,0.104166667,0.069444444,0.003472222,0.052083333
20510,630,1320,0.20952381,0.238095238,0.180952381,0.13968254,0.123809524,0.061904762,0.003174603,0.042857143
20511,312,702,0.185897436,0.288461538,0.131410256,0.176282051,0.08974359,0.067307692,0.016025641,0.044871795
20512,356,751,0.18258427,0.266853933,0.154494382,0.18258427,0.08988764,0.087078652,0,0.036516854
20513,400,763,0.2275,0.2725,0.1125,0.1375,0.0875,0.0875,0.0075,0.0675
20514,335,680,0.188059701,0.226865672,0.131343284,0.197014925,0.113432836,0.101492537,0,0.041791045
20515,298,685,0.137583893,0.281879195,0.181208054,0.177852349,0.067114094,0.100671141,0,0.053691275
20516,302,663,0.188741722,0.291390728,0.112582781,0.152317881,0.086092715,0.11589404,0.003311258,0.049668874
20517,270,560,0.22962963,0.277777778,0.137037037,0.188888889,0.081481481,0.044444444,0,0.040740741
20518,549,1386,0.258652095,0.278688525,0.102003643,0.14571949,0.074681239,0.100182149,0.007285974,0.032786885
20601,984,1256,0.391260163,0.201219512,0.05995935,0.05995935,0.166666667,0.084349593,0.004065041,0.032520325
20602,1133,1272,0.367166814,0.210944395,0.06619594,0.061782877,0.173874669,0.090026478,0.002647838,0.027360989
20603,1017,1234,0.387413963,0.18387414,0.078662734,0.053097345,0.166175025,0.095378564,0.001966568,0.033431662
20604,248,674,0.366935484,0.201612903,0.080645161,0.056451613,0.157258065,0.120967742,0,0.016129032
20605,294,643,0.37414966,0.221088435,0.085034014,0.078231293,0.173469388,0.057823129,0,0.010204082
20606,337,595,0.308605341,0.231454006,0.127596439,0.050445104,0.166172107,0.086053412,0,0.029673591
20607,336,768,0.31547619,0.241071429,0.080357143,0.092261905,0.154761905,0.083333333,0,0.032738095
20608,384,726,0.25,0.276041667,0.130208333,0.044270833,0.1328125,0.125,0.018229167,0.0234375
20609,353,768,0.294617564,0.201133144,0.104815864,0.059490085,0.223796034,0.090651558,0,0.025495751
20610,339,763,0.280235988,0.238938053,0.091445428,0.085545723,0.203539823,0.067846608,0.002949853,0.029498525
20701,985,1279,0.426395939,0.059898477,0.03248731,0.024365482,0.370558376,0.075126904,0,0.011167513
20702,300,642,0.433333333,0.033333333,0.043333333,0.013333333,0.406666667,0.063333333,0,0.006666667
20801,1160,1253,0.334482759,0.201724138,0.117241379,0.049137931,0.205172414,0.056034483,0,0.036206897
20802,1233,1306,0.377128954,0.173560422,0.123276561,0.062449311,0.197891322,0.0486618,0.00162206,0.01540957
20803,1348,1773,0.364985163,0.162462908,0.12388724,0.045252226,0.227744807,0.0615727,0,0.014094955
20804,1532,1960,0.338772846,0.204960836,0.103133159,0.075065274,0.192558747,0.057441253,0.003916449,0.024151436
20805,1616,2068,0.389851485,0.136757426,0.086633663,0.048886139,0.261757426,0.050742574,0.002475248,0.02289604
20806,283,675,0.342756184,0.155477032,0.106007067,0.053003534,0.279151943,0.056537102,0,0.007067138
20807,302,703,0.30794702,0.149006623,0.112582781,0.086092715,0.274834437,0.052980132,0,0.016556291
20808,370,769,0.305405405,0.202702703,0.143243243,0.108108108,0.167567568,0.045945946,0,0.027027027
20809,317,857,0.283911672,0.220820189,0.082018927,0.107255521,0.208201893,0.059936909,0,0.03785489
20810,449,998,0.331848552,0.180400891,0.135857461,0.080178174,0.211581292,0.04454343,0.002227171,0.013363029
20811,406,849,0.261083744,0.263546798,0.103448276,0.088669951,0.137931034,0.110837438,0,0.034482759
20812,312,739,0.326923077,0.121794872,0.144230769,0.060897436,0.28525641,0.038461538,0,0.022435897
20813,278,770,0.352517986,0.151079137,0.107913669,0.04676259,0.241007194,0.064748201,0,0.035971223
20814,476,1271,0.323529412,0.144957983,0.201680672,0.071428571,0.18697479,0.050420168,0.00210084,0.018907563
20901,1191,1406,0.356842989,0.214105793,0.117548279,0.065491184,0.167086482,0.052057095,0.001679261,0.025188917
20902,1094,1289,0.374771481,0.18464351,0.117001828,0.053016453,0.195612431,0.050274223,0,0.024680073
20903,369,807,0.233062331,0.243902439,0.119241192,0.086720867,0.176151762,0.100271003,0.005420054,0.035230352
20904,344,700,0.290697674,0.200581395,0.200581395,0.093023256,0.125,0.063953488,0,0.026162791
20905,408,750,0.316176471,0.225490196,0.183823529,0.071078431,0.142156863,0.039215686,0,0.022058824
20906,271,628,0.291512915,0.199261993,0.180811808,0.066420664,0.195571956,0.04797048,0.003690037,0.014760148
21001,1167,1360,0.330762639,0.217652099,0.107969152,0.074550129,0.17823479,0.059982862,0,0.030848329
21002,1078,1316,0.306122449,0.192949907,0.108534323,0.069573284,0.217068646,0.069573284,0,0.036178108
21003,1492,1540,0.371313673,0.160857909,0.134718499,0.063002681,0.195040214,0.044906166,0.002680965,0.027479893
21004,539,1029,0.220779221,0.211502783,0.179962894,0.107606679,0.159554731,0.085343228,0.014842301,0.020408163
21005,454,869,0.255506608,0.226872247,0.154185022,0.101321586,0.211453744,0.039647577,0.002202643,0.008810573
21006,361,790,0.238227147,0.252077562,0.16066482,0.088642659,0.108033241,0.102493075,0.008310249,0.041551247
21007,498,1012,0.285140562,0.18875502,0.202811245,0.070281124,0.182730924,0.048192771,0,0.022088353
21008,334,675,0.269461078,0.209580838,0.170658683,0.053892216,0.19760479,0.068862275,0,0.02994012
21009,567,1275,0.347442681,0.194003527,0.144620811,0.065255732,0.181657848,0.035273369,0,0.031746032
21101,646,990,0.281733746,0.291021672,0.052631579,0.07120743,0.116099071,0.131578947,0.007739938,0.047987616
21102,359,793,0.292479109,0.278551532,0.066852368,0.066852368,0.13091922,0.105849582,0.013927577,0.044568245
21201,718,988,0.302228412,0.292479109,0.058495822,0.064066852,0.150417827,0.101671309,0.002785515,0.027855153
21202,355,754,0.276056338,0.233802817,0.126760563,0.076056338,0.14084507,0.115492958,0,0.030985915
21301,1133,1218,0.343336275,0.26831421,0.060017652,0.063548102,0.115622242,0.090026478,0.005295675,0.053839365
