stimmbezirk,eligible_voters,valid_votes,spd,cdu_csu,gruene,fdp,linke_pds,ad_demokraten,afd,other
80802,1275,964,0.247925311,0.384854772,0.053941909,0.187759336,0.040456432,0,0.040456432,0.044605809
80803,1500,1198,0.270450751,0.338063439,0.070116861,0.150250417,0.029215359,0,0.097662771,0.044240401
80804,712,343,0.224489796,0.416909621,0.04664723,0.206997085,0.023323615,0,0.040816327,0.040816327
80805,1089,525,0.234285714,0.363809524,0.074285714,0.163809524,0.055238095,0,0.078095238,0.03047619
80806,794,241,0.248962656,0.365145228,0.058091286,0.124481328,0.070539419,0.008298755,0.066390041,0.058091286
80807,705,315,0.323809524,0.320634921,0.041269841,0.136507937,0.022222222,0.003174603,0.073015873,0.079365079
80808,665,266,0.244360902,0.327067669,0.082706767,0.146616541,0.071428571,0,0.07518797,0.052631579
80809,610,239,0.209205021,0.334728033,0.083682008,0.121338912,0.09623431,0,0.112970711,0.041841004
80810,1124,489,0.298568507,0.308793456,0.098159509,0.098159509,0.063394683,0,0.055214724,0.077709611
80811,731,351,0.301994302,0.336182336,0.054131054,0.156695157,0.034188034,0,0.065527066,0.051282051
80812,642,345,0.243478261,0.397101449,0.060869565,0.162318841,0.04057971,0,0.052173913,0.043478261
80901,1817,1191,0.3131822,0.336691856,0.041141898,0.13434089,0.041981528,0.001679261,0.086481948,0.04450042
80902,987,261,0.390804598,0.16091954,0.049808429,0.084291188,0.053639847,0.007662835,0.149425287,0.103448276
80903,850,247,0.36437247,0.206477733,0.044534413,0.085020243,0.060728745,0.004048583,0.190283401,0.044534413
80904,620,252,0.321428571,0.253968254,0.031746032,0.095238095,0.103174603,0,0.123015873,0.071428571
80905,612,221,0.330316742,0.271493213,0.031674208,0.085972851,0.095022624,0,0.140271493,0.045248869
80906,589,292,0.23630137,0.373287671,0.058219178,0.089041096,0.058219178,0.010273973,0.126712329,0.047945205
80907,468,105,0.247619048,0.428571429,0.085714286,0.057142857,0.019047619,0,0.095238095,0.066666667
90101,1547,801,0.308364544,0.235955056,0.084893883,0.098626717,0.103620474,0.004993758,0.072409488,0.09113608
90102,1874,1052,0.326996198,0.206273764,0.105513308,0.106463878,0.117870722,0.00095057,0.05608365,0.079847909
90103,1866,1070,0.31588785,0.185046729,0.142056075,0.098130841,0.121495327,0.002803738,0.04953271,0.085046729
90104,2119,1196,0.294314381,0.184782609,0.153846154,0.086120401,0.137959866,0.001672241,0.056020067,0.085284281
90105,1686,961,0.29760666,0.201873049,0.119667014,0.086368366,0.147762747,0.003121748,0.069719043,0.073881374
90106,1586,946,0.33615222,0.165961945,0.109936575,0.098308668,0.125792812,0.00422833,0.070824524,0.088794926
90107,1681,1321,0.292202877,0.21650265,0.124148372,0.121877366,0.115064345,0.005299016,0.055261166,0.069644209
90108,742,331,0.256797583,0.157099698,0.141993958,0.078549849,0.223564955,0.012084592,0.045317221,0.084592145
90109,786,347,0.259365994,0.146974063,0.172910663,0.057636888,0.244956772,0,0.040345821,0.077809798
90110,639,234,0.252136752,0.192307692,0.153846154,0.111111111,0.128205128,0,0.081196581,0.081196581
90111,800,337,0.267062315,0.222551929,0.169139466,0.050445104,0.154302671,0.002967359,0.056379822,0.077151335
90112,677,234,0.256410256,0.217948718,0.196581197,0.085470085,0.123931624,0.008547009,0.055555556,0.055555556
90113,1042,330,0.296969697,0.151515152,0.139393939,0.072727273,0.154545455,0.009090909,0.072727273,0.103030303
90114,1145,408,0.291666667,0.176470588,0.12254902,0.056372549,0.200980392,0.004901961,0.058823529,0.088235294
90115,1019,374,0.278074866,0.163101604,0.176470588,0.090909091,0.187165775,0.005347594,0.048128342,0.050802139
90116,889,388,0.265463918,0.152061856,0.152061856,0.079896907,0.18814433,0,0.056701031,0.105670103
90117,1733,680,0.261764706,0.25,0.105882353,0.132352941,0.089705882,0.002941176,0.075,0.082352941
90118,1435,494,0.275303644,0.141700405,0.151821862,0.074898785,0.186234818,0.012145749,0.082995951,0.074898785
90119,1324,453,0.249448124,0.130242826,0.134657837,0.090507726,0.198675497,0.017660044,0.04415011,0.134657837
90120,1067,251,0.274900398,0.139442231,0.123505976,0.051792829,0.19123506,0.011952191,0.079681275,0.12749004
90121,1092,279,0.326164875,0.11827957,0.132616487,0.068100358,0.129032258,0.003584229,0.111111111,0.111111111
90122,727,379,0.240105541,0.284960422,0.073878628,0.137203166,0.08707124,0,0.089709763,0.08707124
90123,726,278,0.269784173,0.269784173,0.115107914,0.09352518,0.100719424,0.007194245,0.064748201,0.079136691
90201,1696,1084,0.387453875,0.197416974,0.082103321,0.096863469,0.087638376,0.003690037,0.081180812,0.063653137
90202,948,322,0.329192547,0.201863354,0.114906832,0.077639752,0.102484472,0.00621118,0.096273292,0.071428571
90203,1142,343,0.358600583,0.145772595,0.087463557,0.090379009,0.125364431,0,0.104956268,0.087463557
90204,1148,279,0.340501792,0.17562724,0.068100358,0.035842294,0.157706093,0.021505376,0.096774194,0.103942652
90301,1822,970,0.339175258,0.231958763,0.057731959,0.098969072,0.086597938,0.005154639,0.101030928,0.079381443
90302,1278,892,0.326233184,0.261210762,0.088565022,0.110986547,0.085201794,0.00896861,0.045964126,0.072869955
90303,681,265,0.211320755,0.18490566,0.132075472,0.071698113,0.132075472,0.037735849,0.109433962,0.120754717
90304,1101,320,0.365625,0.15625,0.10625,0.05625,0.096875,0.021875,0.1125,0.084375
90305,1300,491,0.315682281,0.16496945,0.126272912,0.083503055,0.134419552,0.00203666,0.083503055,0.089613035
90306,1288,485,0.325773196,0.216494845,0.103092784,0.111340206,0.098969072,0.008247423,0.082474227,0.053608247
90307,703,328,0.347560976,0.274390244,0.067073171,0.097560976,0.073170732,0.015243902,0.079268293,0.045731707
90308,568,199,0.281407035,0.24120603,0.075376884,0.120603015,0.100502513,0.005025126,0.085427136,0.090452261
90401,1286,972,0.291152263,0.283950617,0.108024691,0.124485597,0.086419753,0.004115226,0.052469136,0.049382716
90402,1730,1033,0.339787028,0.222652469,0.095837367,0.094869313,0.087124879,0.007744434,0.085188771,0.066795741
90403,1738,1077,0.317548747,0.256267409,0.088207985,0.123491179,0.071494893,0.00185701,0.082636955,0.058495822
90404,1889,1132,0.300353357,0.296819788,0.083038869,0.121908127,0.076855124,0.002650177,0.078621908,0.03975265
90405,1197,468,0.352564103,0.211538462,0.05982906,0.098290598,0.057692308,0.008547009,0.123931624,0.087606838
90406,1218,346,0.297687861,0.179190751,0.083815029,0.069364162,0.130057803,0.002890173,0.144508671,0.092485549
90407,1355,554,0.317689531,0.182310469,0.104693141,0.120938628,0.09566787,0,0.084837545,0.093862816
90408,1022,352,0.375,0.201704545,0.107954545,0.090909091,0.079545455,0.002840909,0.088068182,0.053977273
90409,1143,425,0.331764706,0.275294118,0.077647059,0.101176471,0.075294118,0,0.105882353,0.032941176
90410,1158,345,0.420289855,0.194202899,0.08115942,0.069565217,0.098550725,0.002898551,0.060869565,0.072463768
90411,1183,503,0.248508946,0.294234592,0.099403579,0.125248509,0.087475149,0.001988072,0.06361829,0.079522863
90412,657,311,0.327974277,0.279742765,0.102893891,0.106109325,0.07073955,0,0.057877814,0.054662379
90413,626,316,0.262658228,0.338607595,0.101265823,0.136075949,0.069620253,0,0.060126582,0.03164557
90501,1540,1104,0.323369565,0.276268116,0.121376812,0.115942029,0.06884058,0.000905797,0.045289855,0.048007246
90502,1303,920,0.341304348,0.259782609,0.092391304,0.115217391,0.072826087,0.001086957,0.054347826,0.063043478
90503,1261,949,0.304531085,0.311907271,0.100105374,0.10748156,0.070600632,0.002107482,0.05374078,0.049525817
90504,1558,1095,0.252054795,0.327853881,0.086757991,0.169863014,0.065753425,0,0.061187215,0.03652968
90505,1306,872,0.316513761,0.290137615,0.097477064,0.131880734,0.066513761,0,0.058486239,0.038990826
90506,1321,917,0.307524537,0.307524537,0.107960742,0.13304253,0.046892039,0,0.047982552,0.049073064
90507,771,353,0.322946176,0.249291785,0.101983003,0.127478754,0.082152975,0,0.067988669,0.04815864
90508,721,278,0.338129496,0.179856115,0.118705036,0.14028777,0.104316547,0,0.086330935,0.032374101
90509,1394,567,0.366843034,0.223985891,0.141093474,0.109347443,0.070546737,0,0.042328042,0.045855379
90510,665,316,0.291139241,0.310126582,0.113924051,0.094936709,0.050632911,0,0.101265823,0.037974684
90511,621,339,0.327433628,0.235988201,0.10619469,0.203539823,0.041297935,0,0.03539823,0.050147493
90512,583,278,0.23381295,0.428057554,0.107913669,0.118705036,0.032374101,0,0.050359712,0.028776978
90513,642,329,0.246200608,0.288753799,0.136778116,0.161094225,0.085106383,0.003039514,0.060790274,0.018237082
90514,658,304,0.273026316,0.342105263,0.095394737,0.157894737,0.052631579,0,0.046052632,0.032894737
90515,645,320,0.196875,0.346875,0.14375,0.18125,0.059375,0,0.053125,0.01875
90516,544,266,0.248120301,0.281954887,0.112781955,0.214285714,0.037593985,0,0.082706767,0.022556391
90517,619,303,0.273927393,0.293729373,0.112211221,0.122112211,0.079207921,0,0.082508251,0.03630363
90518,629,318,0.257861635,0.323899371,0.113207547,0.128930818,0.059748428,0.009433962,0.062893082,0.044025157
90519,703,356,0.331460674,0.258426966,0.117977528,0.115168539,0.081460674,0,0.04494382,0.050561798
90520,645,322,0.291925466,0.232919255,0.164596273,0.111801242,0.071428571,0.00931677,0.055900621,0.062111801
90521,693,371,0.288409704,0.28032345,0.137466307,0.161725067,0.045822102,0,0.051212938,0.035040431
90522,569,273,0.267399267,0.293040293,0.117216117,0.139194139,0.06959707,0,0.076923077,0.036630037
90523,663,287,0.324041812,0.236933798,0.083623693,0.118466899,0.114982578,0.003484321,0.073170732,0.045296167
90601,1431,1126,0.341030195,0.238010657,0.103907638,0.121669627,0.056838366,0,0.085257549,0.053285968
90602,1419,1055,0.381990521,0.283412322,0.068246445,0.093838863,0.058767773,0.002843602,0.069194313,0.041706161
90603,1721,1141,0.382997371,0.273444347,0.06485539,0.126205083,0.041191937,0.000876424,0.065731814,0.044697634
90604,1214,421,0.399049881,0.237529691,0.057007126,0.097387173,0.047505938,0.002375297,0.102137767,0.057007126
90605,1414,481,0.345114345,0.22037422,0.076923077,0.103950104,0.06029106,0.004158004,0.122661123,0.066528067
90606,716,320,0.315625,0.253125,0.096875,0.11875,0.06875,0.00625,0.065625,0.075
90607,665,231,0.324675325,0.311688312,0.082251082,0.112554113,0.03030303,0,0.056277056,0.082251082
90608,646,270,0.340740741,0.318518519,0.096296296,0.074074074,0.051851852,0,0.062962963,0.055555556
90609,727,324,0.333333333,0.311728395,0.080246914,0.086419753,0.043209877,0,0.067901235,0.077160494
90610,939,373,0.319034853,0.249329759,0.104557641,0.139410188,0.058981233,0.008042895,0.08310992,0.037533512
90611,844,340,0.341176471,0.305882353,0.079411765,0.126470588,0.044117647,0,0.058823529,0.044117647
90612,590,269,0.342007435,0.327137546,0.089219331,0.118959108,0.037174721,0,0.044609665,0.040892193
90613,535,264,0.382575758,0.257575758,0.147727273,0.075757576,0.071969697,0,0.053030303,0.011363636
90701,1819,1110,0.337837838,0.289189189,0.062162162,0.101801802,0.064864865,0,0.08018018,0.063963964
90702,2237,1185,0.370464135,0.256540084,0.075949367,0.090295359,0.076793249,0.005063291,0.086075949,0.038818565
90703,1158,437,0.347826087,0.2402746,0.105263158,0.114416476,0.061784897,0,0.082379863,0.04805492
90704,729,338,0.295857988,0.221893491,0.094674556,0.165680473,0.085798817,0,0.073964497,0.062130178
90705,703,315,0.304761905,0.257142857,0.092063492,0.13015873,0.076190476,0,0.076190476,0.063492063
90706,698,361,0.274238227,0.340720222,0.099722992,0.152354571,0.047091413,0,0.049861496,0.03601108
90707,640,260,0.346153846,0.25,0.096153846,0.119230769,0.057692308,0,0.057692308,0.073076923
